collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
27/10/2022 14:34:37.822,0,0,0,1,1,1,16,-831,25,0,1867,0,10465,0,1,0,1,16
27/10/2022 14:34:37.834,0,0,0,1,1,1,15,-1273,38,-82,1864,0,10465,0,1,0,1,16
27/10/2022 14:34:37.844,0,0,0,1,1,1,15,-938,28,-69,1863,0,10465,0,1,0,1,16
27/10/2022 14:34:37.854,0,0,0,1,1,1,15,-2153,64,-57,1862,0,10465,0,1,0,1,16
27/10/2022 14:34:37.864,0,0,0,1,1,1,16,-2035,60,-79,1859,0,10465,0,1,0,1,16
27/10/2022 14:34:37.875,0,0,0,1,1,1,20,-1854,55,-88,1857,0,10465,0,1,0,1,16
27/10/2022 14:34:37.885,0,0,0,1,1,1,21,-1781,53,-96,1854,0,10465,0,1,0,1,16
27/10/2022 14:34:37.896,0,0,0,1,1,1,22,-2032,60,-103,1851,0,10465,0,1,0,1,16
27/10/2022 14:34:37.907,0,0,0,1,1,1,23,-1930,57,-116,1848,0,10465,0,1,0,1,16
27/10/2022 14:34:37.917,0,0,0,1,1,1,28,-1189,35,-114,1845,0,10465,0,1,0,1,16
27/10/2022 14:34:37.927,0,0,0,1,1,1,26,-2134,63,-117,1842,0,10465,0,1,0,1,16
27/10/2022 14:34:37.937,0,0,0,1,1,1,26,-2185,65,-115,1839,0,10465,0,1,0,1,16
27/10/2022 14:34:37.948,0,0,0,1,1,1,29,-2190,65,-131,1835,0,10465,0,1,0,1,16
27/10/2022 14:34:37.958,0,0,0,1,1,1,32,-1909,56,-157,1831,0,10465,0,1,0,1,16
27/10/2022 14:34:37.968,0,0,0,1,1,1,31,-2454,72,-153,1827,0,10465,0,1,0,1,16
27/10/2022 14:34:37.98,0,0,0,1,1,1,34,-1691,50,-174,1821,0,10465,0,1,0,1,16
27/10/2022 14:34:37.991,0,0,0,1,1,1,33,-2015,60,-178,1817,0,10465,0,1,0,1,16
27/10/2022 14:34:38.001,0,0,0,1,1,1,34,-1738,51,-201,1811,0,10465,0,1,0,1,16
27/10/2022 14:34:38.012,0,0,0,1,1,1,36,-1393,41,-215,1805,0,10465,0,1,0,1,16
27/10/2022 14:34:38.023,0,0,0,1,1,1,36,-1497,44,-208,1799,0,10465,0,1,0,1,16
27/10/2022 14:34:38.033,0,0,0,1,1,1,35,-1448,43,-227,1793,0,10465,0,1,0,1,16
27/10/2022 14:34:38.044,0,0,0,1,1,1,36,-1297,39,-226,1787,0,10465,0,1,0,1,16
27/10/2022 14:34:38.054,0,0,0,1,1,1,37,-946,28,-236,1780,0,10465,0,1,0,1,16
27/10/2022 14:34:38.064,0,0,0,1,1,1,37,-976,29,-235,1774,0,10465,0,1,0,1,16
27/10/2022 14:34:38.074,0,0,0,1,1,1,37,-822,25,-240,1767,0,10465,0,1,0,1,16
27/10/2022 14:34:38.085,0,0,0,1,1,1,37,-892,27,-233,1760,0,10465,0,1,0,1,16
27/10/2022 14:34:38.095,0,0,0,1,1,1,36,-1061,32,-232,1753,0,10465,0,1,0,1,16
27/10/2022 14:34:38.105,0,0,0,1,1,1,38,-711,21,-236,1747,0,10465,0,1,0,1,16
27/10/2022 14:34:38.116,0,0,0,1,1,1,35,-993,30,-250,1740,0,10465,0,1,0,1,16
27/10/2022 14:34:38.126,0,0,0,1,1,1,36,-843,25,-249,1734,0,10465,0,1,0,1,16
27/10/2022 14:34:38.137,0,0,0,1,1,1,36,-907,27,-245,1728,0,10465,0,1,0,1,16
27/10/2022 14:34:38.147,0,0,0,1,1,1,35,-981,29,-241,1721,0,10465,0,1,0,1,16
27/10/2022 14:34:38.157,0,0,0,1,1,1,37,-732,22,-252,1714,0,10465,0,1,0,1,16
27/10/2022 14:34:38.167,0,0,0,1,1,1,36,-734,22,-249,1707,0,10465,0,1,0,1,16
27/10/2022 14:34:38.178,0,0,0,1,1,1,36,-667,20,-256,1701,0,10465,0,1,0,1,16
27/10/2022 14:34:38.189,0,0,0,1,1,1,34,-872,26,-259,1695,0,10465,0,1,0,1,16
27/10/2022 14:34:38.199,0,0,0,1,1,1,36,-937,28,-234,1688,0,10465,0,1,0,1,16
27/10/2022 14:34:38.209,0,0,0,1,1,1,36,-950,28,-240,1681,0,10465,0,1,0,1,16
27/10/2022 14:34:38.22,0,0,0,1,1,1,36,-843,25,-244,1674,0,10465,0,1,0,1,16
27/10/2022 14:34:38.23,0,0,0,1,1,1,34,-1135,34,-241,1667,0,10465,0,1,0,1,16
27/10/2022 14:34:38.24,0,0,0,1,1,1,35,-914,27,-238,1661,0,10465,0,1,0,1,16
27/10/2022 14:34:38.25,0,0,0,1,1,1,35,-955,29,-240,1654,0,10465,0,1,0,1,16
27/10/2022 14:34:38.261,0,0,0,1,1,1,36,-601,18,-247,1648,0,10465,0,1,0,1,16
27/10/2022 14:34:38.283,0,0,0,1,1,1,35,-914,27,-243,1634,0,10465,0,1,0,1,16
27/10/2022 14:34:38.293,0,0,0,1,1,1,37,-771,23,-232,1628,0,10465,0,1,0,1,16
27/10/2022 14:34:38.303,0,0,0,1,1,1,36,-776,23,-238,1621,0,10465,0,1,0,1,16
27/10/2022 14:34:38.314,0,0,0,1,1,1,35,-730,22,-252,1615,0,10465,0,1,0,1,16
27/10/2022 14:34:38.325,0,0,0,1,1,1,35,-896,27,-232,1607,0,10465,0,1,0,1,16
27/10/2022 14:34:38.335,0,0,0,1,1,1,35,-725,22,-245,1600,0,10465,0,1,0,1,16
27/10/2022 14:34:38.346,0,0,0,1,1,1,37,-645,19,-234,1594,0,10465,0,1,0,1,16
27/10/2022 14:34:38.355,0,0,0,1,1,1,35,-661,20,-248,1587,0,10465,0,1,0,1,16
27/10/2022 14:34:38.366,0,0,0,1,1,1,32,-1074,32,-252,1580,0,10465,0,1,0,1,16
27/10/2022 14:34:38.376,0,0,0,1,1,1,34,-960,29,-241,1574,0,10465,0,1,0,1,16
27/10/2022 14:34:38.386,0,0,0,1,1,1,36,-808,24,-231,1568,0,10465,0,1,0,1,16
27/10/2022 14:34:38.397,0,0,0,1,1,1,36,-802,24,-236,1561,0,10465,0,1,0,1,16
27/10/2022 14:34:38.407,0,0,0,1,1,1,36,-718,22,-243,1555,0,10465,0,1,0,1,16
