collect_time,Emergencyunlockingstatus,opendoor,openclosed,dooraction,lockswitchstate,closewtichstate,Voltage,current,Antipinchforce,speed,corner,prepra1,doorcount,opening,closing,opening_command,closing_command,label
4/11/2022 13:43:14.07,0,0,1,1,0,0,12,1499,43,0,1,1,11249,1,0,1,0,21
4/11/2022 13:43:14.08,0,0,1,1,0,0,19,545,15,96,5,1,11249,1,0,1,0,21
4/11/2022 13:43:14.09,0,0,1,1,0,0,17,568,16,134,8,1,11249,1,0,1,0,21
4/11/2022 13:43:14.101,0,0,1,1,0,0,19,821,24,130,12,1,11249,1,0,1,0,21
4/11/2022 13:43:14.111,0,0,1,1,0,0,21,635,18,143,16,1,11249,1,0,1,0,21
4/11/2022 13:43:14.121,0,0,1,1,0,0,20,746,21,157,20,1,11249,1,0,1,0,21
4/11/2022 13:43:14.131,0,0,1,1,0,0,22,828,24,149,24,1,11249,1,0,1,0,21
4/11/2022 13:43:14.142,0,0,1,1,0,0,23,750,21,160,29,1,11249,1,0,1,0,21
4/11/2022 13:43:14.152,0,0,1,1,0,0,24,729,21,171,33,1,11249,1,0,1,0,21
4/11/2022 13:43:14.163,0,0,1,1,0,0,24,858,25,180,38,1,11249,1,0,1,0,21
4/11/2022 13:43:14.173,0,0,1,1,0,0,28,642,18,174,43,1,11249,1,0,1,0,21
4/11/2022 13:43:14.183,0,0,1,1,0,0,27,736,21,195,48,1,11249,1,0,1,0,21
4/11/2022 13:43:14.193,0,0,1,1,0,0,29,770,22,194,53,1,11249,1,0,1,0,21
4/11/2022 13:43:14.205,0,0,1,1,0,0,27,1239,36,198,58,1,11249,1,0,1,0,21
4/11/2022 13:43:14.214,0,0,1,1,0,0,31,1803,52,132,62,1,11249,1,0,1,0,21
4/11/2022 13:43:14.224,0,0,1,1,0,0,30,1954,57,108,65,1,11249,1,0,1,0,21
4/11/2022 13:43:14.237,0,0,1,1,0,0,30,2422,70,107,68,1,11249,1,0,1,0,21
4/11/2022 13:43:14.246,0,0,1,1,0,0,25,3387,99,112,70,1,11249,1,0,1,0,21
4/11/2022 13:43:14.255,0,0,1,1,0,0,26,3682,107,103,73,1,11249,1,0,1,0,21
4/11/2022 13:43:14.268,0,0,1,1,0,0,27,3281,96,89,76,1,11249,1,0,1,0,21
4/11/2022 13:43:14.277,0,0,1,1,0,0,28,3561,104,102,79,1,11249,1,0,1,0,21
4/11/2022 13:43:14.287,0,0,1,1,1,0,30,3113,91,114,83,1,11249,1,0,1,0,21
4/11/2022 13:43:14.297,0,0,1,1,1,1,39,1741,51,130,86,1,11249,1,0,1,0,21
4/11/2022 13:43:14.307,0,0,1,1,1,1,35,2198,64,143,90,1,11249,1,0,1,0,21
4/11/2022 13:43:14.319,0,0,1,1,1,1,27,4116,120,149,93,1,11249,1,0,1,0,21
4/11/2022 13:43:14.328,0,0,1,1,1,1,30,3614,105,128,97,1,11249,1,0,1,0,21
4/11/2022 13:43:14.339,0,0,1,1,1,1,32,3367,98,136,100,1,11249,1,0,1,0,21
4/11/2022 13:43:14.348,0,0,1,1,1,1,37,2659,77,141,104,1,11249,1,0,1,0,21
4/11/2022 13:43:14.359,0,0,1,1,1,1,37,2898,84,152,110,1,11249,1,0,1,0,21
